"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FRA","STINT","TOT","PC_PA","M","2005-06",2.111,
"FRA","STINT","TOT","PC_PA","M","2005-07",2.1194,
"FRA","STINT","TOT","PC_PA","M","2005-08",2.1325,
"FRA","STINT","TOT","PC_PA","M","2005-09",2.1391,
"FRA","STINT","TOT","PC_PA","M","2005-10",2.1966,
"FRA","STINT","TOT","PC_PA","M","2005-11",2.3609,
"FRA","STINT","TOT","PC_PA","M","2005-12",2.4729,
"FRA","STINT","TOT","PC_PA","M","2006-01",2.5117,
"FRA","STINT","TOT","PC_PA","M","2006-02",2.6004,
"FRA","STINT","TOT","PC_PA","M","2006-03",2.7226,
"FRA","STINT","TOT","PC_PA","M","2006-04",2.7938,
"FRA","STINT","TOT","PC_PA","M","2006-05",2.889,
"FRA","STINT","TOT","PC_PA","M","2006-06",2.9857,
"FRA","STINT","TOT","PC_PA","M","2006-07",3.1022,
"FRA","STINT","TOT","PC_PA","M","2006-08",3.2265,
"FRA","STINT","TOT","PC_PA","M","2006-09",3.3354,
"FRA","STINT","TOT","PC_PA","M","2006-10",3.502,
"FRA","STINT","TOT","PC_PA","M","2006-11",3.5972,
"FRA","STINT","TOT","PC_PA","M","2006-12",3.6842,
"FRA","STINT","TOT","PC_PA","M","2007-01",3.7519,
"FRA","STINT","TOT","PC_PA","M","2007-02",3.8182,
"FRA","STINT","TOT","PC_PA","M","2007-03",3.8909,
"FRA","STINT","TOT","PC_PA","M","2007-04",3.9753,
"FRA","STINT","TOT","PC_PA","M","2007-05",4.0714,
"FRA","STINT","TOT","PC_PA","M","2007-06",4.1478,
"FRA","STINT","TOT","PC_PA","M","2007-07",4.2162,
"FRA","STINT","TOT","PC_PA","M","2007-08",4.5436,
"FRA","STINT","TOT","PC_PA","M","2007-09",4.7417,
"FRA","STINT","TOT","PC_PA","M","2007-10",4.6874,
"FRA","STINT","TOT","PC_PA","M","2007-11",4.6385,
"FRA","STINT","TOT","PC_PA","M","2007-12",4.8484,
"FRA","STINT","TOT","PC_PA","M","2008-01",4.4815,
"FRA","STINT","TOT","PC_PA","M","2008-02",4.3621,
"FRA","STINT","TOT","PC_PA","M","2008-03",4.5964,
"FRA","STINT","TOT","PC_PA","M","2008-04",4.7835,
"FRA","STINT","TOT","PC_PA","M","2008-05",4.8574,
"FRA","STINT","TOT","PC_PA","M","2008-06",4.9405,
"FRA","STINT","TOT","PC_PA","M","2008-07",4.961,
"FRA","STINT","TOT","PC_PA","M","2008-08",4.9652,
"FRA","STINT","TOT","PC_PA","M","2008-09",5.0192,
"FRA","STINT","TOT","PC_PA","M","2008-10",5.1131,
"FRA","STINT","TOT","PC_PA","M","2008-11",4.2383,
"FRA","STINT","TOT","PC_PA","M","2008-12",3.2926,
"FRA","STINT","TOT","PC_PA","M","2009-01",2.4565,
"FRA","STINT","TOT","PC_PA","M","2009-02",1.9431,
"FRA","STINT","TOT","PC_PA","M","2009-03",1.6355,
"FRA","STINT","TOT","PC_PA","M","2009-04",1.4223,
"FRA","STINT","TOT","PC_PA","M","2009-05",1.2817,
"FRA","STINT","TOT","PC_PA","M","2009-06",1.2279,
"FRA","STINT","TOT","PC_PA","M","2009-07",0.975,
"FRA","STINT","TOT","PC_PA","M","2009-08",0.8605,
"FRA","STINT","TOT","PC_PA","M","2009-09",0.7721,
"FRA","STINT","TOT","PC_PA","M","2009-10",0.7375,
"FRA","STINT","TOT","PC_PA","M","2009-11",0.7162,
"FRA","STINT","TOT","PC_PA","M","2009-12",0.712,
"FRA","STINT","TOT","PC_PA","M","2010-01",0.6797,
"FRA","STINT","TOT","PC_PA","M","2010-02",0.6617,
"FRA","STINT","TOT","PC_PA","M","2010-03",0.645,
"FRA","STINT","TOT","PC_PA","M","2010-04",0.6447,
"FRA","STINT","TOT","PC_PA","M","2010-05",0.6865,
"FRA","STINT","TOT","PC_PA","M","2010-06",0.7276,
"FRA","STINT","TOT","PC_PA","M","2010-07",0.8488,
"FRA","STINT","TOT","PC_PA","M","2010-08",0.8955,
"FRA","STINT","TOT","PC_PA","M","2010-09",0.8805,
"FRA","STINT","TOT","PC_PA","M","2010-10",0.9977,
"FRA","STINT","TOT","PC_PA","M","2010-11",1.042,
"FRA","STINT","TOT","PC_PA","M","2010-12",1.0217,
"FRA","STINT","TOT","PC_PA","M","2011-01",1.0172,
"FRA","STINT","TOT","PC_PA","M","2011-02",1.0867,
"FRA","STINT","TOT","PC_PA","M","2011-03",1.1755,
"FRA","STINT","TOT","PC_PA","M","2011-04",1.3212,
"FRA","STINT","TOT","PC_PA","M","2011-05",1.4251,
"FRA","STINT","TOT","PC_PA","M","2011-06",1.4886,
"FRA","STINT","TOT","PC_PA","M","2011-07",1.5976,
"FRA","STINT","TOT","PC_PA","M","2011-08",1.5521,
"FRA","STINT","TOT","PC_PA","M","2011-09",1.5365,
"FRA","STINT","TOT","PC_PA","M","2011-10",1.5759,
"FRA","STINT","TOT","PC_PA","M","2011-11",1.4847,
"FRA","STINT","TOT","PC_PA","M","2011-12",1.4261,
"FRA","STINT","TOT","PC_PA","M","2012-01",1.2222,
"FRA","STINT","TOT","PC_PA","M","2012-02",1.0483,
"FRA","STINT","TOT","PC_PA","M","2012-03",0.8585,
"FRA","STINT","TOT","PC_PA","M","2012-04",0.7443,
"FRA","STINT","TOT","PC_PA","M","2012-05",0.6849,
"FRA","STINT","TOT","PC_PA","M","2012-06",0.6589,
"FRA","STINT","TOT","PC_PA","M","2012-07",0.497,
"FRA","STINT","TOT","PC_PA","M","2012-08",0.3324,
"FRA","STINT","TOT","PC_PA","M","2012-09",0.2463,
"FRA","STINT","TOT","PC_PA","M","2012-10",0.2079,
"FRA","STINT","TOT","PC_PA","M","2012-11",0.192,
"FRA","STINT","TOT","PC_PA","M","2012-12",0.1855,
"FRA","STINT","TOT","PC_PA","M","2013-01",0.2049,
"FRA","STINT","TOT","PC_PA","M","2013-02",0.2234,
"FRA","STINT","TOT","PC_PA","M","2013-03",0.2061,
"FRA","STINT","TOT","PC_PA","M","2013-04",0.2089,
"FRA","STINT","TOT","PC_PA","M","2013-05",0.2012,
"FRA","STINT","TOT","PC_PA","M","2013-06",0.2103,
"FRA","STINT","TOT","PC_PA","M","2013-07",0.2214,
"FRA","STINT","TOT","PC_PA","M","2013-08",0.2259,
"FRA","STINT","TOT","PC_PA","M","2013-09",0.2232,
"FRA","STINT","TOT","PC_PA","M","2013-10",0.2258,
"FRA","STINT","TOT","PC_PA","M","2013-11",0.2234,
"FRA","STINT","TOT","PC_PA","M","2013-12",0.2735,
"FRA","STINT","TOT","PC_PA","M","2014-01",0.292,
"FRA","STINT","TOT","PC_PA","M","2014-02",0.2881,
"FRA","STINT","TOT","PC_PA","M","2014-03",0.3053,
"FRA","STINT","TOT","PC_PA","M","2014-04",0.3297,
"FRA","STINT","TOT","PC_PA","M","2014-05",0.3246,
"FRA","STINT","TOT","PC_PA","M","2014-06",0.2414,
"FRA","STINT","TOT","PC_PA","M","2014-07",0.205,
"FRA","STINT","TOT","PC_PA","M","2014-08",0.1916,
"FRA","STINT","TOT","PC_PA","M","2014-09",0.0971,
"FRA","STINT","TOT","PC_PA","M","2014-10",0.0826,
"FRA","STINT","TOT","PC_PA","M","2014-11",0.0809,
"FRA","STINT","TOT","PC_PA","M","2014-12",0.0809,
"FRA","STINT","TOT","PC_PA","M","2015-01",0.0627,
"FRA","STINT","TOT","PC_PA","M","2015-02",0.0482,
"FRA","STINT","TOT","PC_PA","M","2015-03",0.0272,
"FRA","STINT","TOT","PC_PA","M","2015-04",0.0047,
"FRA","STINT","TOT","PC_PA","M","2015-05",-0.0104,
"FRA","STINT","TOT","PC_PA","M","2015-06",-0.0139,
"FRA","STINT","TOT","PC_PA","M","2015-07",-0.0187,
"FRA","STINT","TOT","PC_PA","M","2015-08",-0.0277,
"FRA","STINT","TOT","PC_PA","M","2015-09",-0.037,
"FRA","STINT","TOT","PC_PA","M","2015-10",-0.0536,
"FRA","STINT","TOT","PC_PA","M","2015-11",-0.0876,
"FRA","STINT","TOT","PC_PA","M","2015-12",-0.1263,
"FRA","STINT","TOT","PC_PA","M","2016-01",-0.1461,
"FRA","STINT","TOT","PC_PA","M","2016-02",-0.1836,
"FRA","STINT","TOT","PC_PA","M","2016-03",-0.2285,
"FRA","STINT","TOT","PC_PA","M","2016-04",-0.2492,
"FRA","STINT","TOT","PC_PA","M","2016-05",-0.2572,
"FRA","STINT","TOT","PC_PA","M","2016-06",-0.2679,
"FRA","STINT","TOT","PC_PA","M","2016-07",-0.2945,
"FRA","STINT","TOT","PC_PA","M","2016-08",-0.2982,
"FRA","STINT","TOT","PC_PA","M","2016-09",-0.3016,
"FRA","STINT","TOT","PC_PA","M","2016-10",-0.309,
"FRA","STINT","TOT","PC_PA","M","2016-11",-0.3127,
"FRA","STINT","TOT","PC_PA","M","2016-12",-0.3158,
"FRA","STINT","TOT","PC_PA","M","2017-01",-0.3255,
"FRA","STINT","TOT","PC_PA","M","2017-02",-0.3286,
"FRA","STINT","TOT","PC_PA","M","2017-03",-0.3293,
"FRA","STINT","TOT","PC_PA","M","2017-04",-0.3304,
"FRA","STINT","TOT","PC_PA","M","2017-05",-0.3295,
"FRA","STINT","TOT","PC_PA","M","2017-06",-0.33,
"FRA","STINT","TOT","PC_PA","M","2017-07",-0.3304,
"FRA","STINT","TOT","PC_PA","M","2017-08",-0.3291,
"FRA","STINT","TOT","PC_PA","M","2017-09",-0.3294,
"FRA","STINT","TOT","PC_PA","M","2017-10",-0.3295,
"FRA","STINT","TOT","PC_PA","M","2017-11",-0.329,
"FRA","STINT","TOT","PC_PA","M","2017-12",-0.3279,
"FRA","STINT","TOT","PC_PA","M","2018-01",-0.3285,
"FRA","STINT","TOT","PC_PA","M","2018-02",-0.3285,
"FRA","STINT","TOT","PC_PA","M","2018-03",-0.3279,
"FRA","STINT","TOT","PC_PA","M","2018-04",-0.3285,
"FRA","STINT","TOT","PC_PA","M","2018-05",-0.3252,
"FRA","STINT","TOT","PC_PA","M","2018-06",-0.322,
"FRA","STINT","TOT","PC_PA","M","2018-07",-0.3207,
"FRA","STINT","TOT","PC_PA","M","2018-08",-0.319,
"FRA","STINT","TOT","PC_PA","M","2018-09",-0.3188,
"FRA","STINT","TOT","PC_PA","M","2018-10",-0.3177,
"FRA","STINT","TOT","PC_PA","M","2018-11",-0.3164,
"FRA","STINT","TOT","PC_PA","M","2018-12",-0.3119,
